==========================================
SLURM_JOB_ID = 691528
SLURM_NODELIST = gnode061
SLURM_JOB_GPUS = 0,1,2,3
==========================================

Training config is located in `experiment_config.yaml`

Output directory:   /ssd_scratch/cvit/aditya1/stylegan-v/experiments/rainbow_processed_128_stylegan-v_random3_max32_rainbow_augsenabled-7870d59/output
Training data:      data/rainbow_processed_128
Training duration:  25000 kimg
Number of GPUs:     2
Number of videos:   34525
Image resolution:   128
Conditional model:  False
Dataset x-flips:    True

Creating output directory...
Launching processes...
Loading training set...

Num videos:  69050
Image shape: [3, 128, 128]
Label shape: [0]

Constructing networks...
Resuming from "/ssd_scratch/cvit/aditya1/stylegan-v/experiments/rainbow_processed_128_stylegan-v_random3_max32_rainbow_augsenabled-7870d59/output/network-snapshot-000000.pkl"
Setting up augmentation...
Distributing across 2 GPUs...
Setting up training phases...
Setting up PyTorch plugin "bias_act_plugin"... Done.
Setting up PyTorch plugin "upfirdn2d_plugin"... Done.
Initializing logs...
Training for 25000 kimg...

tick 0     kimg 0.1      time 40s          sec/tick 2.7     sec/kimg 56.48   maintenance 37.1   cpumem 3.85   gpumem 7.14   augment 0.000
tick 1     kimg 5.1      time 1m 35s       sec/tick 48.5    sec/kimg 9.62    maintenance 6.2    cpumem 3.86   gpumem 6.76   augment 0.001
tick 2     kimg 10.2     time 2m 24s       sec/tick 49.5    sec/kimg 9.83    maintenance 0.0    cpumem 3.86   gpumem 6.07   augment 0.005
tick 3     kimg 15.2     time 3m 14s       sec/tick 49.9    sec/kimg 9.90    maintenance 0.0    cpumem 3.86   gpumem 6.08   augment 0.004
tick 4     kimg 20.3     time 4m 05s       sec/tick 50.6    sec/kimg 10.04   maintenance 0.0    cpumem 3.86   gpumem 6.08   augment 0.007
tick 5     kimg 25.3     time 4m 55s       sec/tick 50.5    sec/kimg 10.02   maintenance 0.0    cpumem 3.86   gpumem 6.08   augment 0.010
tick 6     kimg 30.3     time 5m 46s       sec/tick 50.8    sec/kimg 10.08   maintenance 0.0    cpumem 3.86   gpumem 6.08   augment 0.012
tick 7     kimg 35.4     time 6m 37s       sec/tick 50.9    sec/kimg 10.10   maintenance 0.0    cpumem 3.86   gpumem 6.08   augment 0.015
tick 8     kimg 40.4     time 7m 28s       sec/tick 51.0    sec/kimg 10.11   maintenance 0.1    cpumem 3.86   gpumem 6.08   augment 0.018
tick 9     kimg 45.5     time 8m 19s       sec/tick 51.1    sec/kimg 10.14   maintenance 0.0    cpumem 3.86   gpumem 6.08   augment 0.021
tick 10    kimg 50.5     time 9m 09s       sec/tick 50.2    sec/kimg 9.97    maintenance 0.0    cpumem 3.86   gpumem 6.08   augment 0.023
